HouseTeam,AwayTeam,HouseTeamRating,AwayTeamRating,HouseTeamScore
Fulham,Arsenal,66,67,0
"Crystal Palace",Southampton,67,66,1
Liverpool,Leeds,70,65,4
"West Ham",Newcastle,67,66,0
"West Brom",Leicester,0,67,0
Tottenham,Everton,68,65,0
Brighton,Chelsea,67,69,1
"Sheffield United",Wolves,64,0,0
Everton,"West Brom",65,0,5
Leeds,Fulham,65,66,4
"Man United","Crystal Palace",67,67,1
Arsenal,"West Ham",67,67,2
Southampton,Tottenham,66,68,2
Newcastle,Brighton,66,67,0
Chelsea,Liverpool,69,70,0
Leicester,Burnley,67,66,4
"Aston Villa","Sheffield United",66,64,1
Wolves,"Man City",0,71,1
Brighton,"Man United",67,67,2
"Crystal Palace",Everton,67,65,1
"West Brom",Chelsea,0,69,3
Burnley,Southampton,66,66,0
"Sheffield United",Leeds,64,65,0
Tottenham,Newcastle,68,66,1
"Man City",Leicester,71,67,2
"West Ham",Wolves,67,0,4
Fulham,"Aston Villa",66,66,0
Liverpool,Arsenal,70,67,3
Chelsea,"Crystal Palace",69,67,4
Everton,Brighton,65,67,4
Leeds,"Man City",65,71,1
Newcastle,Burnley,66,66,3
Leicester,"West Ham",67,67,0
Southampton,"West Brom",66,0,2
Arsenal,"Sheffield United",67,64,2
Wolves,Fulham,0,66,1
"Man United",Tottenham,67,68,1
"Aston Villa",Liverpool,66,70,7
Everton,Liverpool,65,70,2
Chelsea,Southampton,69,66,3
"Man City",Arsenal,71,67,1
Newcastle,"Man United",66,67,1
"Sheffield United",Fulham,64,66,1
"Crystal Palace",Brighton,67,67,1
Tottenham,"West Ham",68,67,3
Leicester,"Aston Villa",67,66,0
"West Brom",Burnley,0,66,0
Leeds,Wolves,65,0,0
"Aston Villa",Leeds,66,65,0
"West Ham","Man City",67,71,1
Fulham,"Crystal Palace",66,67,1
"Man United",Chelsea,67,69,0
Liverpool,"Sheffield United",70,64,2
Southampton,Everton,66,65,2
Wolves,Newcastle,0,66,1
Arsenal,Leicester,67,67,0
Brighton,"West Brom",67,0,1
Burnley,Tottenham,66,68,0
Wolves,"Crystal Palace",0,67,2
"Sheffield United","Man City",64,71,0
Burnley,Chelsea,66,69,0
Liverpool,"West Ham",70,67,2
"Aston Villa",Southampton,66,66,3
Newcastle,Everton,66,65,2
"Man United",Arsenal,67,67,0
Tottenham,Brighton,68,67,2
Fulham,"West Brom",66,0,2
Leeds,Leicester,65,67,1
Brighton,Burnley,67,66,0
Southampton,Newcastle,66,66,2
Everton,"Man United",65,67,1
"Crystal Palace",Leeds,67,65,4
Chelsea,"Sheffield United",69,64,4
"West Ham",Fulham,67,66,1
"West Brom",Tottenham,0,68,0
Leicester,Wolves,67,0,1
"Man City",Liverpool,71,70,1
Arsenal,"Aston Villa",67,66,0
Newcastle,Chelsea,66,69,0
"Aston Villa",Brighton,66,67,1
Tottenham,"Man City",68,71,2
"Man United","West Brom",67,0,1
Fulham,Everton,66,65,2
"Sheffield United","West Ham",64,67,0
Leeds,Arsenal,65,67,0
Liverpool,Leicester,70,67,3
Burnley,"Crystal Palace",66,67,1
Wolves,Southampton,0,66,1
"Crystal Palace",Newcastle,67,66,0
Brighton,Liverpool,67,70,1
"Man City",Burnley,71,66,5
Everton,Leeds,65,65,0
"West Brom","Sheffield United",0,64,1
Southampton,"Man United",66,67,2
Chelsea,Tottenham,69,68,0
Arsenal,Wolves,67,0,1
Leicester,Fulham,67,66,1
"West Ham","Aston Villa",67,66,2
Burnley,Everton,66,65,1
"Man City",Fulham,71,66,2
"West Ham","Man United",67,67,1
Chelsea,Leeds,69,65,3
"West Brom","Crystal Palace",0,67,1
"Sheffield United",Leicester,64,67,1
Tottenham,Arsenal,68,67,2
Liverpool,Wolves,70,0,4
Brighton,Southampton,67,66,1
Leeds,"West Ham",65,67,1
Wolves,"Aston Villa",0,66,0
Newcastle,"West Brom",66,0,2
"Man United","Man City",67,71,0
Everton,Chelsea,65,69,1
Southampton,"Sheffield United",66,64,3
"Crystal Palace",Tottenham,67,68,1
Fulham,Liverpool,66,70,1
Arsenal,Burnley,67,66,0
Leicester,Brighton,67,67,3
Wolves,Chelsea,0,69,2
"Man City","West Brom",71,0,1
Arsenal,Southampton,67,66,1
Leeds,Newcastle,65,66,5
Leicester,Everton,67,65,0
Fulham,Brighton,66,67,0
Liverpool,Tottenham,70,68,2
"West Ham","Crystal Palace",67,67,1
"Aston Villa",Burnley,66,66,0
"Sheffield United","Man United",64,67,2
"Crystal Palace",Liverpool,67,70,0
Southampton,"Man City",66,71,0
Everton,Arsenal,65,67,2
Newcastle,Fulham,66,66,1
Brighton,"Sheffield United",67,64,1
Tottenham,Leicester,68,67,0
"Man United",Leeds,67,65,6
"West Brom","Aston Villa",0,66,0
Burnley,Wolves,66,0,2
Chelsea,"West Ham",69,67,3
Leicester,"Man United",67,67,2
"Aston Villa","Crystal Palace",66,67,3
Fulham,Southampton,66,66,0
Arsenal,Chelsea,67,69,3
"Man City",Newcastle,71,66,2
"Sheffield United",Everton,64,65,0
Leeds,Burnley,65,66,1
"West Ham",Brighton,67,67,2
Liverpool,"West Brom",70,0,1
Wolves,Tottenham,0,68,1
"Crystal Palace",Leicester,67,67,1
Chelsea,"Aston Villa",69,66,1
Brighton,Arsenal,67,67,0
Burnley,"Sheffield United",66,64,1
Southampton,"West Ham",66,67,0
"West Brom",Leeds,0,65,0
"Man United",Wolves,67,0,1
Newcastle,Liverpool,66,70,0
Everton,"West Ham",65,67,0
"Man United","Aston Villa",67,66,2
Tottenham,Leeds,68,65,3
"Crystal Palace","Sheffield United",67,64,2
Brighton,Wolves,67,0,3
"West Brom",Arsenal,0,67,0
Newcastle,Leicester,66,67,1
Chelsea,"Man City",69,71,1
Southampton,Liverpool,66,70,1
"Sheffield United",Newcastle,64,66,1
Burnley,"Man United",66,67,0
Wolves,Everton,0,65,1
"Man City",Brighton,71,67,1
Tottenham,Fulham,68,66,1
Arsenal,"Crystal Palace",67,67,0
Wolves,"West Brom",0,0,2
Leeds,Brighton,65,67,0
"West Ham",Burnley,67,66,1
Fulham,Chelsea,66,69,0
Leicester,Southampton,67,66,2
"Sheffield United",Tottenham,64,68,1
Liverpool,"Man United",70,67,0
"Man City","Crystal Palace",71,67,4
Arsenal,Newcastle,67,66,3
"West Ham","West Brom",67,0,2
Leicester,Chelsea,67,69,2
"Man City","Aston Villa",71,66,2
Fulham,"Man United",66,67,1
Liverpool,Burnley,70,66,0
"Aston Villa",Newcastle,66,66,2
"Crystal Palace","West Ham",67,67,2
Newcastle,Leeds,66,65,1
Southampton,Arsenal,66,67,1
"West Brom","Man City",0,71,0
Burnley,"Aston Villa",66,66,3
Chelsea,Wolves,69,0,0
Brighton,Fulham,67,66,0
Everton,Leicester,65,67,1
"Man United","Sheffield United",67,64,1
Tottenham,Liverpool,68,70,1
Everton,Newcastle,65,66,0
"Crystal Palace",Wolves,67,0,1
"Man City","Sheffield United",71,64,1
"West Brom",Fulham,0,66,2
Arsenal,"Man United",67,67,0
Southampton,"Aston Villa",66,66,0
Chelsea,Burnley,69,66,2
Leicester,Leeds,67,65,1
"West Ham",Liverpool,67,70,1
Brighton,Tottenham,67,68,1
"Sheffield United","West Brom",64,0,2
Wolves,Arsenal,0,67,2
"Man United",Southampton,67,66,9
Newcastle,"Crystal Palace",66,67,1
Burnley,"Man City",66,71,0
Fulham,Leicester,66,67,0
Leeds,Everton,65,65,1
"Aston Villa","West Ham",66,67,1
Liverpool,Brighton,70,67,0
Tottenham,Chelsea,68,69,0
"Aston Villa",Arsenal,66,67,1
Burnley,Brighton,66,67,1
Newcastle,Southampton,66,66,3
Fulham,"West Ham",66,67,0
"Man United",Everton,67,65,3
Tottenham,"West Brom",68,0,2
Wolves,Leicester,0,67,0
Liverpool,"Man City",70,71,1
"Sheffield United",Chelsea,64,69,1
Leeds,"Crystal Palace",65,67,2
Leicester,Liverpool,67,70,3
"Crystal Palace",Burnley,67,66,0
"Man City",Tottenham,71,68,3
Brighton,"Aston Villa",67,66,0
Southampton,Wolves,66,0,1
"West Brom","Man United",0,67,1
Arsenal,Leeds,67,65,4
Everton,Fulham,65,66,0
"West Ham","Sheffield United",67,64,3
Chelsea,Newcastle,69,66,2
Burnley,Fulham,66,66,1
Everton,"Man City",65,71,1
Wolves,Leeds,0,65,1
Southampton,Chelsea,66,69,1
Burnley,"West Brom",66,0,0
Liverpool,Everton,70,65,0
Fulham,"Sheffield United",66,64,1
"West Ham",Tottenham,67,68,2
"Aston Villa",Leicester,66,67,1
Arsenal,"Man City",67,71,0
"Man United",Newcastle,67,66,3
Brighton,"Crystal Palace",67,67,1
Leeds,Southampton,65,66,3
"Man City","West Ham",71,67,2
"West Brom",Brighton,0,67,1
Leeds,"Aston Villa",65,66,0
Newcastle,Wolves,66,0,1
"Crystal Palace",Fulham,67,66,0
Leicester,Arsenal,67,67,1
Tottenham,Burnley,68,66,4
Chelsea,"Man United",69,67,0
"Sheffield United",Liverpool,64,70,0
Everton,Southampton,65,66,1
"Man City",Wolves,71,0,4
Burnley,Leicester,66,67,1
"Sheffield United","Aston Villa",64,66,1
"Crystal Palace","Man United",67,67,0
Fulham,Tottenham,66,68,0
"West Brom",Everton,0,65,0
Liverpool,Chelsea,70,69,0
Burnley,Arsenal,66,67,1
"Sheffield United",Southampton,64,66,0
"Aston Villa",Wolves,66,0,0
Brighton,Leicester,67,67,1
"West Brom",Newcastle,0,66,0
Liverpool,Fulham,70,66,0
"Man City","Man United",71,67,0
Tottenham,"Crystal Palace",68,67,4
Chelsea,Everton,69,65,2
"West Ham",Leeds,67,65,2
"Man City",Southampton,71,66,5
Newcastle,"Aston Villa",66,66,1
Leeds,Chelsea,65,69,0
"Crystal Palace","West Brom",67,0,1
Everton,Burnley,65,66,1
Fulham,"Man City",66,71,0
Southampton,Brighton,66,67,1
Leicester,"Sheffield United",67,64,5
Arsenal,Tottenham,67,68,2
"Man United","West Ham",67,67,1
Wolves,Liverpool,0,70,0
Fulham,Leeds,66,65,1
Brighton,Newcastle,67,66,3
"West Ham",Arsenal,67,67,3
"Aston Villa",Tottenham,66,68,0
Chelsea,"West Brom",69,0,2
Leeds,"Sheffield United",65,64,2
Leicester,"Man City",67,71,0
Arsenal,Liverpool,67,70,0
Southampton,Burnley,66,66,3
Newcastle,Tottenham,66,68,2
"Aston Villa",Fulham,66,66,3
"Man United",Brighton,67,67,2
Everton,"Crystal Palace",65,67,1
Wolves,"West Ham",0,67,2
Fulham,Wolves,66,0,0
"Man City",Leeds,71,65,1
Liverpool,"Aston Villa",70,66,2
"Crystal Palace",Chelsea,67,69,1
Burnley,Newcastle,66,66,1
"West Ham",Leicester,67,67,3
Tottenham,"Man United",68,67,1
"Sheffield United",Arsenal,64,67,0
"West Brom",Southampton,0,66,3
Brighton,Everton,67,65,0
Everton,Tottenham,65,68,2
Newcastle,"West Ham",66,67,3
Wolves,"Sheffield United",0,64,1
Arsenal,Fulham,67,66,1
"Man United",Burnley,67,66,3
Leeds,Liverpool,65,70,1
Chelsea,Brighton,69,67,0
Tottenham,Southampton,68,66,2
"Aston Villa","Man City",66,71,1
Leicester,"West Brom",67,0,3
Arsenal,Everton,67,65,0
Liverpool,Newcastle,70,66,1
"West Ham",Chelsea,67,69,0
"Sheffield United",Brighton,64,67,1
Wolves,Burnley,0,66,0
Leeds,"Man United",65,67,0
"Aston Villa","West Brom",66,0,2
Leicester,"Crystal Palace",67,67,2
Southampton,Leicester,66,67,1
"Crystal Palace","Man City",67,71,0
Brighton,Leeds,67,65,2
Chelsea,Fulham,69,66,2
Everton,"Aston Villa",65,66,1
Newcastle,Arsenal,66,67,0
Tottenham,"Sheffield United",68,64,4
"West Brom",Wolves,0,0,1
Burnley,"West Ham",66,67,1
Leicester,Newcastle,67,66,2
Leeds,Tottenham,65,68,3
"Sheffield United","Crystal Palace",64,67,0
"Man City",Chelsea,71,69,1
Liverpool,Southampton,70,66,2
Wolves,Brighton,0,67,2
"Aston Villa","Man United",66,67,1
"West Ham",Everton,67,65,0
Arsenal,"West Brom",67,0,3
Fulham,Burnley,66,66,0
"Man United",Leicester,67,67,1
Southampton,"Crystal Palace",66,67,3
Chelsea,Arsenal,69,67,0
"Aston Villa",Everton,66,65,0
"Man United",Liverpool,67,70,2
Newcastle,"Man City",66,71,3
Burnley,Leeds,66,65,0
Southampton,Fulham,66,66,3
Brighton,"West Ham",67,67,1
"Crystal Palace","Aston Villa",67,66,3
Tottenham,Wolves,68,0,2
"West Brom",Liverpool,0,70,1
Everton,"Sheffield United",65,64,0
"Man United",Fulham,67,66,1
Southampton,Leeds,66,65,0
Brighton,"Man City",67,71,3
Chelsea,Leicester,69,67,2
Everton,Wolves,65,0,1
Newcastle,"Sheffield United",66,64,1
Tottenham,"Aston Villa",68,66,1
"Crystal Palace",Arsenal,67,67,1
Burnley,Liverpool,66,70,0
"West Brom","West Ham",0,67,1
Arsenal,Brighton,67,67,2
"Aston Villa",Chelsea,66,69,2
Fulham,Newcastle,66,66,0
Leeds,"West Brom",65,0,3
Leicester,Tottenham,67,68,2
Liverpool,"Crystal Palace",70,67,2
"Man City",Everton,71,65,5
"Sheffield United",Burnley,64,66,1
"West Ham",Southampton,67,66,3
Wolves,"Man United",0,67,1
Brentford,Arsenal,66,67,2
"Man United",Leeds,67,65,5
Burnley,Brighton,66,67,1
Chelsea,"Crystal Palace",69,67,3
Everton,Southampton,65,66,3
Leicester,Wolves,67,0,1
Watford,"Aston Villa",65,66,3
Norwich,Liverpool,64,70,0
Newcastle,"West Ham",66,67,2
Tottenham,"Man City",68,71,1
Liverpool,Burnley,70,66,2
"Aston Villa",Newcastle,66,66,2
"Crystal Palace",Brentford,67,66,0
Leeds,Everton,65,65,2
"Man City",Norwich,71,64,5
Brighton,Watford,67,65,2
Southampton,"Man United",66,67,1
Wolves,Tottenham,0,68,0
Arsenal,Chelsea,67,69,0
"West Ham",Leicester,67,67,4
"Man City",Arsenal,71,67,5
"Aston Villa",Brentford,66,66,1
Brighton,Everton,67,65,0
Newcastle,Southampton,66,66,2
Norwich,Leicester,64,67,1
"West Ham","Crystal Palace",67,67,2
Liverpool,Chelsea,70,69,1
Burnley,Leeds,66,65,1
Tottenham,Watford,68,65,1
Wolves,"Man United",0,67,0
"Crystal Palace",Tottenham,67,68,3
Arsenal,Norwich,67,64,1
Brentford,Brighton,66,67,0
Leicester,"Man City",67,71,0
"Man United",Newcastle,67,66,4
Southampton,"West Ham",66,67,0
Watford,Wolves,65,0,0
Chelsea,"Aston Villa",69,66,3
Leeds,Liverpool,65,70,0
Everton,Burnley,65,66,3
Newcastle,Leeds,66,65,1
Wolves,Brentford,0,66,0
Burnley,Arsenal,66,67,0
Liverpool,"Crystal Palace",70,67,3
"Man City",Southampton,71,66,0
Norwich,Watford,64,65,1
"Aston Villa",Everton,66,65,3
Brighton,Leicester,67,67,2
"West Ham","Man United",67,67,1
Tottenham,Chelsea,68,69,0
Chelsea,"Man City",69,71,0
"Man United","Aston Villa",67,66,0
Everton,Norwich,65,64,2
Leeds,"West Ham",65,67,1
Leicester,Burnley,67,66,2
Watford,Newcastle,65,66,1
Brentford,Liverpool,66,70,3
Southampton,Wolves,66,0,0
Arsenal,Tottenham,67,68,3
"Crystal Palace",Brighton,67,67,1
"Man United",Everton,67,65,1
Burnley,Norwich,66,64,0
Chelsea,Southampton,69,66,3
Leeds,Watford,65,65,1
Wolves,Newcastle,0,66,2
Brighton,Arsenal,67,67,0
"Crystal Palace",Leicester,67,67,2
Tottenham,"Aston Villa",68,66,2
"West Ham",Brentford,67,66,1
Liverpool,"Man City",70,71,2
Watford,Liverpool,65,70,0
"Aston Villa",Wolves,66,0,2
Leicester,"Man United",67,67,4
"Man City",Burnley,71,66,2
Norwich,Brighton,64,67,0
Southampton,Leeds,66,65,1
Brentford,Chelsea,66,69,0
Everton,"West Ham",65,67,0
Newcastle,Tottenham,66,68,2
Arsenal,"Crystal Palace",67,67,2
Arsenal,"Aston Villa",67,66,3
Chelsea,Norwich,69,64,7
"Crystal Palace",Newcastle,67,66,1
Everton,Watford,65,65,2
Leeds,Wolves,65,0,1
Southampton,Burnley,66,66,2
Brighton,"Man City",67,71,1
Brentford,Leicester,66,67,1
"West Ham",Tottenham,67,68,1
"Man United",Liverpool,67,70,0
Leicester,Arsenal,67,67,0
Burnley,Brentford,66,66,3
Liverpool,Brighton,70,67,2
"Man City","Crystal Palace",71,67,0
Newcastle,Chelsea,66,69,0
Watford,Southampton,65,66,0
Tottenham,"Man United",68,67,0
Norwich,Leeds,64,65,1
"Aston Villa","West Ham",66,67,1
Wolves,Everton,0,65,2
Southampton,"Aston Villa",66,66,1
"Man United","Man City",67,71,0
Brentford,Norwich,66,64,1
Chelsea,Burnley,69,66,1
"Crystal Palace",Wolves,67,0,2
Brighton,Newcastle,67,66,1
Arsenal,Watford,67,65,1
Everton,Tottenham,65,68,0
Leeds,Leicester,65,67,1
